,int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie,Cat_Classe_Designation_Num
15603,15603,347,53,H350F004,S,VENDU,EQP,VIO33VCR,YANMAR,01/06/2020,27/10/2022,114,97,"1,17","5791,27",2022,55,200,53000.0,30500,51,14/10/2022,3.0
15604,15604,347,53,H360E015,S,VENDU,EQP,E50,BOBCAT,01/06/2012,15/02/2023,126,97,"1,3","6017,05",2020,62,130,40950.0,36500,37,23/01/2023,3.0
15605,15605,347,53,H360E015,S,VENDU,EQP,E50,BOBCAT,01/06/2012,15/02/2023,126,97,"1,3","11542,72",2021,126,255,80325.0,36500,38,23/01/2023,3.0
15606,15606,347,53,H360E015,S,VENDU,EQP,E50,BOBCAT,01/06/2012,15/02/2023,126,97,"1,3","3233,69",2022,35,254,80010.0,36500,134,23/01/2023,3.0
15607,15607,347,53,H509F009,S,VENDU,EQP,ECR88PLUS,VOLVO,01/06/2020,16/11/2022,112,90,"1,24","7127,51",2019,55,134,53600.0,55000,48,14/10/2022,3.0
15608,15608,347,53,H509F009,S,VENDU,EQP,ECR88PLUS,VOLVO,01/06/2020,16/11/2022,112,90,"1,24","8932,34",2020,63,254,101600.0,55000,73,14/10/2022,3.0
15609,15609,347,53,H509F009,S,VENDU,EQP,ECR88PLUS,VOLVO,01/06/2020,16/11/2022,112,90,"1,24","17375,83",2021,112,255,102000.0,55000,38,14/10/2022,3.0
15610,15610,347,53,H509F009,S,VENDU,EQP,ECR88PLUS,VOLVO,01/06/2020,16/11/2022,112,90,"1,24","5376,3",2022,28,131,52400.0,55000,63,14/10/2022,3.0
15611,15611,347,53,K8207009,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,528-70,JCB,01/04/2007,02/10/2023,188,116,"1,62","386,8",2022,4,9,0.0,43000,45,,1.0
15612,15612,347,53,K856G007,O,EN LOCATION,EQP,T40180,BOBCAT,01/06/2021,31/01/2023,102,111,"0,92","10150,01",2021,77,151,42280.0,61000,128,,1.0
15613,15613,347,53,K856G007,O,EN LOCATION,EQP,T40180,BOBCAT,01/06/2021,31/01/2023,102,111,"0,92",20655,2022,179,249,71120.0,61000,103,,1.0
15614,15614,347,53,L320E017,N,PANNE COURT TERME,EQP,GS-2032,GENIE,01/09/2012,01/09/2023,123,112,"1,1","2328,07",2019,52,134,10184.0,9900,27,,2.0
15615,15615,347,53,L320E017,N,PANNE COURT TERME,EQP,GS-2032,GENIE,01/09/2012,01/09/2023,123,112,"1,1","1902,59",2020,58,254,19304.0,9900,62,,2.0
15616,15616,347,53,L320E017,N,PANNE COURT TERME,EQP,GS-2032,GENIE,01/09/2012,01/09/2023,123,112,"1,1","4608,1",2021,137,255,19380.0,9900,26,,2.0
15617,15617,347,53,L320E017,N,PANNE COURT TERME,EQP,GS-2032,GENIE,01/09/2012,01/09/2023,123,112,"1,1","3224,52",2022,111,254,19304.0,9900,36,,2.0
15618,15618,347,53,L360G012,N,PANNE COURT TERME,EQP,SJIII4632,SKYJACK,01/06/2021,30/01/2023,98,112,"0,88","729,87",2021,23,14,0.0,16000,41,,2.0
15619,15619,347,53,L455E001,S,VENDU,EQP,120SC,MANITOU,01/07/2012,27/04/2021,105,112,"0,94",0,2018,2,5,0.0,36000,0,08/02/2021,2.0
15620,15620,347,53,L515D006,S,VENDU,EQP,100VJR,MANITOU,01/08/2011,07/12/2022,130,119,"1,09",470,2020,10,3,0.0,18500,6,15/04/2022,2.0
