int64_field_0,Entite,Nb_Materiels,CA,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Loc_Geree_TR,Pay_Back_Prix_Budget
0,100 - LOXAM SAS,34523,1001026500,13378927,26557790,4709234700,138723392997
1,Total,34523,1001026500,13378927,26557790,4709234700,138723392997
