int64_field_0,Agence_Gerante,Region_Proprietaire,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Ann__e_Construction_Mat,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,Valeur_Locative_Th_TR_IndM,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_nette_comptable,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference
2609,3116,51,Mat - 107479,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,18/12/2012,31/01/2023,2012,119,83,"1,44",1764,0,2018,126,252,0,1500,0
2610,3116,51,Mat - 107479,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,18/12/2012,31/01/2023,2012,119,83,"1,44",1757,0,2019,18,251,0,1500,0
2611,3116,51,Mat - 107479,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,18/12/2012,31/01/2023,2012,119,83,"1,44",1778,"19,13",2020,32,254,0,1500,891
2612,3116,51,Mat - 107479,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,18/12/2012,31/01/2023,2012,119,83,"1,44",1785,"154,37",2021,61,255,0,1500,158
2613,3116,51,Mat - 107479,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,18/12/2012,31/01/2023,2012,119,83,"1,44",1778,0,2022,84,254,0,1500,0
2614,3448,56,Mat - 107480,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,25/01/2023,2012,120,111,"1,08",63000,"13605,32",2018,121,252,0,52000,57
2615,3448,56,Mat - 107480,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,25/01/2023,2012,120,111,"1,08",62750,"12419,98",2019,112,251,0,52000,59
2616,3448,56,Mat - 107480,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,25/01/2023,2012,120,111,"1,08",63500,"13204,88",2020,126,254,0,52000,40
2617,3448,56,Mat - 107480,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,25/01/2023,2012,120,111,"1,08",63750,"12586,26",2021,117,255,0,52000,43
2618,3448,56,Mat - 107480,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,25/01/2023,2012,120,111,"1,08",63500,"18646,75",2022,160,254,0,52000,29
2619,1856,56,Mat - 107481,D,PANNE LONG TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,120,111,"1,08",63000,"13519,82",2018,142,252,0,52000,44
2620,1856,56,Mat - 107481,D,PANNE LONG TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,120,111,"1,08",62750,"11993,08",2019,153,251,0,52000,50
2621,1856,56,Mat - 107481,D,PANNE LONG TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,120,111,"1,08",63500,"11884,83",2020,110,254,0,52000,51
2622,1856,56,Mat - 107481,D,PANNE LONG TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,120,111,"1,08",63750,"13880,01",2021,111,255,0,52000,44
2623,1856,56,Mat - 107481,D,PANNE LONG TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,120,111,"1,08",63500,"18569,95",2022,175,254,0,52000,38
2624,3448,56,Mat - 107482,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,12/03/2012,23/01/2023,2012,120,83,"1,45",1764,0,2018,56,252,0,1500,0
2625,3448,56,Mat - 107482,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,12/03/2012,23/01/2023,2012,120,83,"1,45",1757,0,2019,52,251,0,1500,0
2626,3448,56,Mat - 107482,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,12/03/2012,23/01/2023,2012,120,83,"1,45",1778,"24,75",2020,53,254,0,1500,684
2627,3448,56,Mat - 107482,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,12/03/2012,23/01/2023,2012,120,83,"1,45",1785,0,2021,53,255,0,1500,0
2628,3448,56,Mat - 107482,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,12/03/2012,23/01/2023,2012,120,83,"1,45",1778,"29,19",2022,26,254,0,1500,580
2629,1856,56,Mat - 107483,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,29/11/2012,15/03/2018,2012,120,83,"1,45",1764,"24,86",2018,3,252,0,1500,721
2630,1856,56,Mat - 107483,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,29/11/2012,15/03/2018,2012,120,83,"1,45",1757,0,2019,0,251,0,1500,0
2631,1856,56,Mat - 107483,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,29/11/2012,15/03/2018,2012,120,83,"1,45",1778,0,2020,0,254,0,1500,0
2632,1856,56,Mat - 107483,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,29/11/2012,15/03/2018,2012,120,83,"1,45",1785,0,2021,0,255,0,1500,0
2633,1856,56,Mat - 107483,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,29/11/2012,15/03/2018,2012,120,83,"1,45",1778,0,2022,0,254,0,1500,0
2634,3617,59,Mat - 107484,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,14/02/2023,2012,120,111,"1,08",63000,"10505,31",2018,96,252,0,52000,65
2635,3617,59,Mat - 107484,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,14/02/2023,2012,120,111,"1,08",62750,"14571,7",2019,154,251,0,52000,44
2636,3617,59,Mat - 107484,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,14/02/2023,2012,120,111,"1,08",63500,"16189,86",2020,208,254,0,52000,34
2637,3617,59,Mat - 107484,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,14/02/2023,2012,120,111,"1,08",63750,"10667,52",2021,114,255,0,52000,65
2638,3617,59,Mat - 107484,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,14/02/2023,2012,120,111,"1,08",63500,"12093,92",2022,99,254,0,52000,46
2639,3617,59,Mat - 107485,T,VOLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,19/04/2013,18/11/2021,2012,112,83,"1,35",1764,"53,34",2018,7,252,0,1500,330
2640,3617,59,Mat - 107485,T,VOLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,19/04/2013,18/11/2021,2012,112,83,"1,35",1757,"17,78",2019,119,251,0,1500,911
2641,3617,59,Mat - 107485,T,VOLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,19/04/2013,18/11/2021,2012,112,83,"1,35",1778,0,2020,75,254,0,1500,0
2642,3617,59,Mat - 107485,T,VOLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,19/04/2013,18/11/2021,2012,112,83,"1,35",1519,0,2021,0,217,0,1500,0
2643,3611,58,Mat - 107487,M,PERDU,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,27/11/2012,22/12/2022,2012,120,83,"1,45",1764,0,2018,60,252,0,1500,0
2644,3611,58,Mat - 107487,M,PERDU,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,27/11/2012,22/12/2022,2012,120,83,"1,45",1757,"62,88",2019,63,251,0,1500,284
2645,3611,58,Mat - 107487,M,PERDU,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,27/11/2012,22/12/2022,2012,120,83,"1,45",1778,"198,45",2020,60,254,0,1500,91
2646,3611,58,Mat - 107487,M,PERDU,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,27/11/2012,22/12/2022,2012,120,83,"1,45",1785,"9,76",2021,40,255,0,1500,1857
2647,3611,58,Mat - 107487,M,PERDU,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,27/11/2012,22/12/2022,2012,120,83,"1,45",1701,0,2022,45,243,0,1500,0
2648,1426,57,Mat - 107488,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63000,"14126,6",2018,227,252,0,52000,42
2649,1426,57,Mat - 107488,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",62750,"16853,25",2019,176,251,0,52000,35
2650,1426,57,Mat - 107488,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63500,"11739,96",2020,105,254,0,52000,51
2651,1426,57,Mat - 107488,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63750,"13800,64",2021,130,255,0,52000,54
2652,1426,57,Mat - 107488,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63500,"16243,69",2022,154,254,0,52000,37
2653,1410,57,Mat - 107489,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,120,111,"1,08",63000,"10552,28",2018,130,252,0,52000,55
2654,1410,57,Mat - 107489,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,120,111,"1,08",62750,"13374,33",2019,145,251,0,52000,47
2655,1410,57,Mat - 107489,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,120,111,"1,08",63500,"8454,3",2020,80,254,0,52000,87
2656,1410,57,Mat - 107489,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,120,111,"1,08",63750,"15287,96",2021,133,255,0,52000,39
2657,1410,57,Mat - 107489,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,120,111,"1,08",63500,"19980,66",2022,185,254,0,52000,29
2658,3475,57,Mat - 107490,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63000,"13929,32",2018,121,252,0,52000,50
2659,3475,57,Mat - 107490,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",62750,"11268,47",2019,99,251,0,52000,62
2660,3475,57,Mat - 107490,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63500,"12199,08",2020,109,254,0,52000,46
2661,3475,57,Mat - 107490,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63750,"14460,48",2021,115,255,0,52000,39
2662,3475,57,Mat - 107490,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63500,"18399,51",2022,106,254,0,52000,31
2663,3476,57,Mat - 107491,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63000,"15745,05",2018,176,252,0,52000,51
2664,3476,57,Mat - 107491,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",62750,"15086,81",2019,178,251,0,52000,41
2665,3476,57,Mat - 107491,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63500,"11202,26",2020,178,254,0,52000,48
2666,3476,57,Mat - 107491,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63750,"14609,57",2021,136,255,0,52000,40
2667,3476,57,Mat - 107491,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,2012,120,111,"1,08",63500,"8068,04",2022,68,254,0,52000,72
2668,3474,57,Mat - 107492,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,30/11/2012,31/01/2023,2012,120,83,"1,45",1764,0,2018,226,252,0,1500,0
2669,3474,57,Mat - 107492,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,30/11/2012,31/01/2023,2012,120,83,"1,45",1757,0,2019,140,251,0,1500,0
2670,3474,57,Mat - 107492,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,30/11/2012,31/01/2023,2012,120,83,"1,45",1778,"141,17",2020,131,254,0,1500,164
2671,3474,57,Mat - 107492,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,30/11/2012,31/01/2023,2012,120,83,"1,45",1785,0,2021,104,255,0,1500,0
2672,3474,57,Mat - 107492,U,RETOUR PLANIFIE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,30/11/2012,31/01/2023,2012,120,83,"1,45",1778,"11,94",2022,110,254,0,1500,1873
2673,1410,57,Mat - 107493,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,28/11/2012,27/09/2021,2012,120,83,"1,45",1764,77,2018,16,252,0,1500,211
2674,1410,57,Mat - 107493,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,28/11/2012,27/09/2021,2012,120,83,"1,45",1757,"196,48",2019,77,251,0,1500,82
2675,1410,57,Mat - 107493,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,28/11/2012,27/09/2021,2012,120,83,"1,45",1778,277,2020,180,254,0,1500,59
2676,1410,57,Mat - 107493,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,28/11/2012,27/09/2021,2012,120,83,"1,45",1785,"969,61",2021,158,255,0,1500,25
2677,1410,57,Mat - 107493,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,28/11/2012,27/09/2021,2012,120,83,"1,45",1778,0,2022,0,254,0,1500,0
2678,3475,57,Mat - 107494,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,23/11/2012,12/06/2022,2012,120,83,"1,45",1764,"37,62",2018,103,252,0,1500,537
2679,3475,57,Mat - 107494,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,23/11/2012,12/06/2022,2012,120,83,"1,45",1757,0,2019,33,251,0,1500,0
2680,3475,57,Mat - 107494,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,23/11/2012,12/06/2022,2012,120,83,"1,45",1778,0,2020,63,254,0,1500,0
2681,3475,57,Mat - 107494,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,23/11/2012,12/06/2022,2012,120,83,"1,45",1785,0,2021,49,255,0,1500,0
2682,3475,57,Mat - 107494,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,23/11/2012,12/06/2022,2012,120,83,"1,45",1778,0,2022,138,254,0,1500,0
2683,3476,57,Mat - 107495,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,14/12/2012,14/02/2023,2012,120,83,"1,44",1764,"9,63",2018,108,252,0,1500,2037
2684,3476,57,Mat - 107495,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,14/12/2012,14/02/2023,2012,120,83,"1,44",1757,0,2019,202,251,0,1500,0
2685,3476,57,Mat - 107495,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,14/12/2012,14/02/2023,2012,120,83,"1,44",1778,0,2020,89,254,0,1500,0
2686,3476,57,Mat - 107495,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,14/12/2012,14/02/2023,2012,120,83,"1,44",1785,"131,81",2021,143,255,0,1500,140
2687,3476,57,Mat - 107495,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,14/12/2012,14/02/2023,2012,120,83,"1,44",1778,"70,33",2022,115,254,0,1500,261
2688,1843,56,Mat - 107496,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,121,111,"1,09",63000,"14760,18",2018,125,252,0,52000,43
2689,1843,56,Mat - 107496,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,121,111,"1,09",62750,"16585,7",2019,189,251,0,52000,35
2690,1843,56,Mat - 107496,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,121,111,"1,09",63500,"17038,12",2020,171,254,0,52000,34
2691,1843,56,Mat - 107496,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,121,111,"1,09",63750,"16266,82",2021,185,255,0,52000,39
2692,1843,56,Mat - 107496,A,DISPONIBLE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,15/02/2023,2012,121,111,"1,09",63500,"15054,99",2022,163,254,0,52000,45
2693,3440,56,Mat - 107497,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,13/02/2023,2012,121,111,"1,09",63000,"16178,6",2018,219,252,0,52000,38
2694,3440,56,Mat - 107497,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,13/02/2023,2012,121,111,"1,09",62750,15666,2019,202,251,0,52000,39
2695,3440,56,Mat - 107497,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,13/02/2023,2012,121,111,"1,09",63500,"16072,85",2020,220,254,0,52000,39
2696,3440,56,Mat - 107497,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,13/02/2023,2012,121,111,"1,09",63750,"16289,88",2021,183,255,0,52000,39
2697,3440,56,Mat - 107497,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,13/02/2023,2012,121,111,"1,09",63500,"17579,16",2022,168,254,0,52000,36
2698,1843,56,Mat - 107498,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,19/01/2023,2012,121,83,"1,45",1764,"62,13",2018,58,252,0,1500,386
2699,1843,56,Mat - 107498,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,19/01/2023,2012,121,83,"1,45",1757,"34,66",2019,90,251,0,1500,580
2700,1843,56,Mat - 107498,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,19/01/2023,2012,121,83,"1,45",1778,0,2020,208,254,0,1500,0
2701,1843,56,Mat - 107498,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,19/01/2023,2012,121,83,"1,45",1785,"17,5",2021,148,255,0,1500,875
2702,1843,56,Mat - 107498,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,19/01/2023,2012,121,83,"1,45",1778,"88,16",2022,154,254,0,1500,173
2703,3440,56,Mat - 107499,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,01/04/2023,2012,121,83,"1,45",1764,132,2018,101,252,0,1500,133
2704,3440,56,Mat - 107499,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,01/04/2023,2012,121,83,"1,45",1757,"41,5",2019,102,251,0,1500,423
2705,3440,56,Mat - 107499,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,01/04/2023,2012,121,83,"1,45",1778,"45,9",2020,27,254,0,1500,387
2706,3440,56,Mat - 107499,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,01/04/2023,2012,121,83,"1,45",1785,"122,75",2021,77,255,0,1500,145
2707,3440,56,Mat - 107499,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,16/11/2012,01/04/2023,2012,121,83,"1,45",1778,"115,98",2022,18,254,0,1500,166
2708,1054,66,Mat - 107500,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63000,"18804,86",2018,199,252,0,52000,31
2709,1054,66,Mat - 107500,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",62750,"14421,44",2019,137,251,0,52000,47
2710,1054,66,Mat - 107500,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63500,"11845,95",2020,123,254,0,52000,50
2711,1054,66,Mat - 107500,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63750,"13388,8",2021,185,255,0,52000,51
2712,1054,66,Mat - 107500,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/07/2023,2012,120,111,"1,08",63500,"12791,62",2022,117,254,0,52000,46
2713,1060,66,Mat - 107501,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,31/01/2023,2012,120,83,"1,45",1764,"13,2",2018,123,252,0,1500,1357
2714,1060,66,Mat - 107501,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,31/01/2023,2012,120,83,"1,45",1757,0,2019,106,251,0,1500,0
2715,1060,66,Mat - 107501,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,31/01/2023,2012,120,83,"1,45",1778,0,2020,50,254,0,1500,0
2716,1060,66,Mat - 107501,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,31/01/2023,2012,120,83,"1,45",1785,"23,4",2021,120,255,0,1500,775
2717,1060,66,Mat - 107501,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,31/01/2023,2012,120,83,"1,45",1778,0,2022,222,254,0,1500,0
2718,336,67,Mat - 107502,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,121,111,"1,09",63000,"13123,75",2018,138,252,0,52000,49
2719,336,67,Mat - 107502,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,121,111,"1,09",62750,"12315,54",2019,114,251,0,52000,48
2720,336,67,Mat - 107502,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,121,111,"1,09",63500,"8465,55",2020,79,254,0,52000,77
2721,336,67,Mat - 107502,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,121,111,"1,09",63750,10804,2021,113,255,0,52000,56
2722,336,67,Mat - 107502,U,RETOUR PLANIFIE,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/06/2023,2012,121,111,"1,09",63500,"11796,56",2022,104,254,0,52000,55
2723,3176,53,Mat - 107503,N,PANNE COURT TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/09/2023,2012,120,111,"1,08",63000,"15833,4",2018,179,252,0,52000,38
2724,3176,53,Mat - 107503,N,PANNE COURT TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/09/2023,2012,120,111,"1,08",62750,"19008,1",2019,191,251,0,52000,31
2725,3176,53,Mat - 107503,N,PANNE COURT TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/09/2023,2012,120,111,"1,08",63500,"13493,92",2020,150,254,0,52000,49
2726,3176,53,Mat - 107503,N,PANNE COURT TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/09/2023,2012,120,111,"1,08",63750,"14830,42",2021,149,255,0,52000,41
2727,3176,53,Mat - 107503,N,PANNE COURT TERME,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,02/09/2023,2012,120,111,"1,08",63500,"18008,43",2022,154,254,0,52000,36
