int64_field_0,Agence_Gerante,Region_Proprietaire,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Ann__e_Construction_Mat,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,Valeur_Locative_Th_TR_IndM,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_nette_comptable,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference
22,3116,51,Mat - 100115,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,24/12/2012,15/02/2023,2012,119,83,"1,44",1778,"40,22",2022,29,254,0,1500,435
23,224,51,Mat - 100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,09/12/2012,14/02/2023,2012,123,139,"0,88",32256,"4362,05",2018,57,252,3600,38000,114
24,224,51,Mat - 100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,09/12/2012,14/02/2023,2012,123,139,"0,88",32128,"8203,1",2019,113,251,3600,38000,61
25,224,51,Mat - 100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,09/12/2012,14/02/2023,2012,123,139,"0,88",32512,"4445,8",2020,48,254,3600,38000,91
26,224,51,Mat - 100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,09/12/2012,14/02/2023,2012,123,139,"0,88",32640,"6888,4",2021,74,255,3600,38000,68
27,224,51,Mat - 100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,09/12/2012,14/02/2023,2012,123,139,"0,88",32512,"5785,36",2022,63,254,3600,38000,70
28,534,58,Mat - 100193,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,535-140HVB,JCB,22/01/2013,31/01/2023,2013,118,111,"1,07",63000,"13729,56",2018,108,252,4935,55000,44
29,534,58,Mat - 100193,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,535-140HVB,JCB,22/01/2013,31/01/2023,2013,118,111,"1,07",62750,10820,2019,75,251,4935,55000,56
30,534,58,Mat - 100193,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,535-140HVB,JCB,22/01/2013,31/01/2023,2013,118,111,"1,07",63500,"11678,45",2020,110,254,4935,55000,63
31,534,58,Mat - 100193,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,535-140HVB,JCB,22/01/2013,31/01/2023,2013,118,111,"1,07",63750,"14015,55",2021,118,255,4935,55000,50
32,534,58,Mat - 100193,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,535-140HVB,JCB,22/01/2013,31/01/2023,2013,118,111,"1,07",63500,"12889,89",2022,145,254,4935,55000,51
33,666,58,Mat - 100194,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,22/01/2013,28/12/2022,2013,118,83,"1,43",1764,0,2018,59,252,0,1500,0
34,666,58,Mat - 100194,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,22/01/2013,28/12/2022,2013,118,83,"1,43",1757,0,2019,223,251,0,1500,0
35,666,58,Mat - 100194,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,22/01/2013,28/12/2022,2013,118,83,"1,43",1778,0,2020,217,254,0,1500,0
36,666,58,Mat - 100194,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,22/01/2013,28/12/2022,2013,118,83,"1,43",1785,0,2021,170,255,0,1500,0
37,666,58,Mat - 100194,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,22/01/2013,28/12/2022,2013,118,83,"1,43",1778,0,2022,93,254,0,1500,0
38,7052,66,Mat - 100282,O,EN LOCATION,049-0006 - NACELLE 8M A MAT VERTICAL ELEC.,EQP,TOUCAN8E,JLG,07/09/2012,02/09/2023,2012,125,119,"1,05",33516,"5502,6",2018,299,252,1750,18000,55
39,7052,66,Mat - 100282,O,EN LOCATION,049-0006 - NACELLE 8M A MAT VERTICAL ELEC.,EQP,TOUCAN8E,JLG,07/09/2012,02/09/2023,2012,125,119,"1,05",33383,"5090,8",2019,103,251,1750,18000,37
40,7052,66,Mat - 100282,O,EN LOCATION,049-0006 - NACELLE 8M A MAT VERTICAL ELEC.,EQP,TOUCAN8E,JLG,07/09/2012,02/09/2023,2012,125,119,"1,05",33782,5114,2020,100,254,1750,18000,37
41,7052,66,Mat - 100282,O,EN LOCATION,049-0006 - NACELLE 8M A MAT VERTICAL ELEC.,EQP,TOUCAN8E,JLG,07/09/2012,02/09/2023,2012,125,119,"1,05",33915,"6222,63",2021,130,255,1750,18000,33
42,7052,66,Mat - 100282,O,EN LOCATION,049-0006 - NACELLE 8M A MAT VERTICAL ELEC.,EQP,TOUCAN8E,JLG,07/09/2012,02/09/2023,2012,125,119,"1,05",33782,"4721,84",2022,103,254,1750,18000,41
43,5701,57,Mat - 100336,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20VCR,YANMAR,09/05/2012,10/07/2022,2012,122,97,"1,26",46620,"13861,7",2018,174,252,2200,23700,27
44,5701,57,Mat - 100336,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20VCR,YANMAR,09/05/2012,10/07/2022,2012,122,97,"1,26",46435,"12233,33",2019,165,251,2200,23700,35
45,5701,57,Mat - 100336,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20VCR,YANMAR,09/05/2012,10/07/2022,2012,122,97,"1,26",46990,"11563,46",2020,134,254,2200,23700,32
46,5701,57,Mat - 100336,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20VCR,YANMAR,09/05/2012,10/07/2022,2012,122,97,"1,26",10545,12500,2021,0,57,2200,23700,9
47,5701,57,Mat - 100336,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20VCR,YANMAR,09/05/2012,10/07/2022,2012,122,97,"1,26",0,"1165,5",2022,55,58,2200,23700,73
48,342,53,Mat - 100437,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,08/02/2012,13/02/2023,2012,124,97,"1,28",46620,"9608,55",2018,115,252,2280,23700,24
49,342,53,Mat - 100437,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,08/02/2012,13/02/2023,2012,124,97,"1,28",46435,"10865,35",2019,167,251,2280,23700,25
50,342,53,Mat - 100437,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,08/02/2012,13/02/2023,2012,124,97,"1,28",46990,"6735,11",2020,163,254,2280,23700,47
51,342,53,Mat - 100437,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,08/02/2012,13/02/2023,2012,124,97,"1,28",47175,"8754,4",2021,145,255,2280,23700,34
52,342,53,Mat - 100437,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,08/02/2012,13/02/2023,2012,124,97,"1,28",46990,"8223,91",2022,192,254,2280,23700,38
53,5301,53,Mat - 100444,J,FERRAILLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/05/2022,2012,121,97,"1,25",46620,"6674,56",2018,125,252,"2300,8",23700,58
54,5301,53,Mat - 100444,J,FERRAILLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/05/2022,2012,121,97,"1,25",46435,"9184,05",2019,144,251,"2300,8",23700,32
55,5301,53,Mat - 100444,J,FERRAILLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/05/2022,2012,121,97,"1,25",46990,6462,2020,71,254,"2300,8",23700,43
56,5301,53,Mat - 100444,J,FERRAILLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/05/2022,2012,121,97,"1,25",47545,"4279,75",2021,43,257,"2300,8",23700,71
57,5301,53,Mat - 100444,J,FERRAILLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/05/2022,2012,121,97,"1,25",17390,975,2022,17,138,"2300,8",23700,153
58,335,53,Mat - 100445,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/11/2022,2012,125,97,"1,29",46620,"8117,69",2018,91,252,"2300,8",23700,33
59,335,53,Mat - 100445,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/11/2022,2012,125,97,"1,29",46435,"11903,76",2019,146,251,"2300,8",23700,23
60,335,53,Mat - 100445,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,20/06/2012,16/11/2022,2012,125,97,"1,29",46990,"7549,4",2020,80,254,"2300,8",23700,39
