int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie
0,10,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2018,0,261,,36500,0,
1,10,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,261,,36500,0,
2,10,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,
3,10,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,
4,10,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,
5,10,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2018,0,261,,36500,0,
6,10,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,261,,36500,0,
7,10,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,
8,10,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,
9,10,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,
10,10,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2018,0,261,,37000,0,
11,10,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2019,0,261,,37000,0,
12,10,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2020,0,262,,37000,0,
13,10,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2021,0,261,,37000,0,
14,10,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2022,0,260,,37000,0,
15,10,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2018,0,261,,1500,0,
16,10,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2019,0,261,,1500,0,
17,10,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2020,0,262,,1500,0,
18,10,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2021,0,261,,1500,0,
19,10,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2022,0,260,,1500,0,
20,10,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2018,0,261,,55000,0,
21,10,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2019,0,261,,55000,0,
22,10,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2020,0,262,,55000,0,
23,10,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2021,0,261,,55000,0,
24,10,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2022,0,260,,55000,0,
25,10,1,146111,N,PANNE COURT TERME,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2019,0,261,,34000,0,
26,10,1,146111,N,PANNE COURT TERME,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2020,0,262,,34000,0,
27,10,1,146111,N,PANNE COURT TERME,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2021,0,261,,34000,0,
28,10,1,146111,N,PANNE COURT TERME,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2022,0,260,,34000,0,
29,10,1,146112,A,DISPONIBLE,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2019,0,261,,34000,0,
30,10,1,146112,A,DISPONIBLE,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2020,0,262,,34000,0,
31,10,1,146112,A,DISPONIBLE,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2021,0,261,,34000,0,
32,10,1,146112,A,DISPONIBLE,052-0021 - CHARIOT TELES. 1T5/2T COMPACT,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2022,0,260,,34000,0,
33,10,1,146113,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2019,0,261,,1500,0,
34,10,1,146113,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2020,0,262,,1500,0,
35,10,1,146113,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2021,0,261,,1500,0,
36,10,1,146113,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2022,0,260,,1500,0,
37,10,1,146114,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2019,0,261,,1500,0,
38,10,1,146114,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2020,0,262,,1500,0,
39,10,1,146114,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2021,0,261,,1500,0,
40,10,1,146114,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2022,0,260,,1500,0,
41,10,1,146129,U,RETOUR PLANIFIE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2019,0,175,,23700,0,
42,10,1,146129,U,RETOUR PLANIFIE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2020,0,262,,23700,0,
43,10,1,146129,U,RETOUR PLANIFIE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2021,0,261,,23700,0,
44,10,1,146129,U,RETOUR PLANIFIE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2022,0,260,,23700,0,
45,10,1,146130,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2019,0,175,,23700,0,
46,10,1,146130,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2020,0,262,,23700,0,
47,10,1,146130,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2021,0,261,,23700,0,
48,10,1,146130,A,DISPONIBLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2022,0,260,,23700,0,
49,10,1,146137,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2019,0,175,,36500,0,27/08/2020
50,10,1,146137,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2020,0,262,,36500,0,27/08/2020
51,10,1,146137,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2021,0,261,,36500,0,27/08/2020
52,10,1,146137,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2022,0,260,,36500,0,27/08/2020
53,10,1,146138,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2019,0,175,,36500,0,02/08/2021
54,10,1,146138,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2020,0,262,,36500,0,02/08/2021
55,10,1,146138,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2021,0,261,,36500,0,02/08/2021
56,10,1,146138,S,VENDU,057-0007 - MINIPELLE 5T À 6T,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2022,0,260,,36500,0,02/08/2021
57,10,1,146148,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2018,0,242,,61000,0,
58,10,1,146148,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2019,0,261,,61000,0,
59,10,1,146148,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2020,0,262,,61000,0,
60,10,1,146148,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2021,0,261,,61000,0,
61,10,1,146148,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2022,0,260,,61000,0,
62,10,1,146149,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2018,0,131,,1500,0,
63,10,1,146149,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2019,0,261,,1500,0,
64,10,1,146149,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2020,0,262,,1500,0,
65,10,1,146149,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2021,0,261,,1500,0,
66,10,1,146149,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2022,0,260,,1500,0,
67,10,1,146150,N,PANNE COURT TERME,052-0037 - CHARIOT TELESC. 14M,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2019,0,261,,55000,0,
68,10,1,146150,N,PANNE COURT TERME,052-0037 - CHARIOT TELESC. 14M,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2020,0,262,,55000,0,
69,10,1,146150,N,PANNE COURT TERME,052-0037 - CHARIOT TELESC. 14M,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2021,0,261,,55000,0,
70,10,1,146150,N,PANNE COURT TERME,052-0037 - CHARIOT TELESC. 14M,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2022,0,260,,55000,0,
71,10,1,146151,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2019,0,175,,1500,0,
72,10,1,146151,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2020,0,262,,1500,0,
73,10,1,146151,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2021,0,261,,1500,0,
74,10,1,146151,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2022,0,260,,1500,0,
75,10,1,146156,S,VENDU,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2018,0,16,,55000,0,02/02/2022
76,10,1,146156,S,VENDU,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2019,0,261,,55000,0,02/02/2022
77,10,1,146156,S,VENDU,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2020,0,262,,55000,0,02/02/2022
78,10,1,146156,S,VENDU,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2021,0,261,,55000,0,02/02/2022
79,10,1,146156,S,VENDU,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2022,0,260,,55000,0,02/02/2022
80,10,1,146160,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2019,0,175,,55000,0,
81,10,1,146160,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2020,0,262,,55000,0,
82,10,1,146160,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2021,0,261,,55000,0,
83,10,1,146160,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2022,0,260,,55000,0,
84,50,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,112,,36500,0,
85,50,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,
86,50,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,
87,50,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,
88,50,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,112,,36500,0,
89,50,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,
90,50,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,
91,50,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,
92,50,1,146037,O,EN LOCATION,052-0024 - CHARIOT TELESC. =< 6M,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",15116,2019,0,66,,37000,3,
93,50,1,146038,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29","11041,41",2019,0,66,,1500,0,
94,50,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2019,0,112,,55000,0,
95,50,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2020,0,262,,55000,0,
96,50,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2021,0,261,,55000,0,
97,50,1,146039,O,EN LOCATION,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2022,0,260,,55000,0,
98,57,1,273442,R,ZONE RETOUR CTRL OBLIGATOIRES,049-0016 - NACELLE 16M SUR VL,EQP,MX170-IVECO-E6,MULTITEL,09/05/2017,15/02/2023,67,103,"0,65",0,2018,0,1,0,52500,0,
99,57,1,273794,O,EN LOCATION,049-0036 - NACELLE 13M ELECTRIQUE,EQP,Z-34/22N,GENIE,11/04/2018,31/01/2023,65,119,"0,55",0,2018,0,1,0,28000,0,
100,57,1,273797,O,EN LOCATION,049-0063 - NACELLE 26M ARTICULEE DIESEL,EQP,Z-80/60,GENIE,04/04/2018,30/01/2023,65,119,"0,55",0,2018,0,1,0,90000,0,
101,57,1,315248,U,RETOUR PLANIFIE,049-0070 - PLATEFORME 8M AUTOM. ELECT.,EQP,GS2032,GENIE,07/06/2018,13/02/2023,54,112,"0,48",0,2018,0,1,0,9900,0,
102,57,1,318755,U,RETOUR PLANIFIE,057-0001 - MINIPELLE <1T,EQP,SV08,YANMAR,31/01/2018,31/01/2023,58,92,"0,63",0,2018,0,1,0,13500,0,
103,57,1,374006,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,MT1440,MANITOU,01/03/2019,31/01/2023,45,111,"0,41",0,2019,0,2,0,55000,0,
104,57,1,544604,R,ZONE RETOUR CTRL OBLIGATOIRES,057-8001 - MINIPELLE 1T ELECTRIQUE,EQP,E10E,BOBCAT,14/09/2022,15/02/2023,3,92,"0,03",0,2022,0,40,14560,47615,0,
105,70,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2018,0,93,,36500,0,
106,70,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,261,,36500,0,
107,70,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,
108,70,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,
109,70,1,146029,U,RETOUR PLANIFIE,057-0007 - MINIPELLE 5T À 6T,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,
110,70,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,261,,36500,0,
111,70,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,
112,70,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,
113,70,1,146033,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,
114,101,1,2380441,O,EN LOCATION,057-0075 - MINIPELLE BI-ENERGIE 1.9T,EQP,TB216S-HYBRID,TAKEUCHI,26/04/2017,31/01/2023,77,97,"0,79",0,2018,0,75,18750,38000,0,
115,101,1,2380451,A,DISPONIBLE,057-0075 - MINIPELLE BI-ENERGIE 1.9T,EQP,TB216S-HYBRID,TAKEUCHI,26/04/2017,11/10/2022,77,97,"0,79",0,2018,0,75,18750,38000,0,
116,101,1,2380561,A,DISPONIBLE,057-0075 - MINIPELLE BI-ENERGIE 1.9T,EQP,TB216S-HYBRID,TAKEUCHI,20/06/2017,02/02/2023,77,97,"0,79",0,2018,0,75,18750,38000,0,
117,101,1,2461591,O,EN LOCATION,052-0037 - CHARIOT TELESC. 14M,EQP,P38-14,MERLO,19/05/2017,31/01/2023,66,111,"0,6",0,2018,0,75,18750,55000,0,
118,101,1,2493711,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,27/06/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
119,101,1,2493721,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,27/06/2017,14/02/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
120,101,1,2493731,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,27/06/2017,02/09/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
121,101,1,2494201,O,EN LOCATION,057-0049 - MINIPELLE DEMOLITION 7.5T/8.5T,EQP,ECR88D,VOLVO,14/04/2017,31/01/2023,77,87,"0,89",0,2018,0,75,36900,70000,0,
122,101,1,2494811,J,FERRAILLE,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,10/07/2017,26/02/2021,55,87,"0,63",0,2018,0,75,27900,48000,0,19/08/2020
123,101,1,2494821,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,05/07/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
124,101,1,2494831,N,PANNE COURT TERME,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,23/05/2017,24/01/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
125,101,1,2496191,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,22/06/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
126,101,1,2496201,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,05/07/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
127,101,1,2496211,N,PANNE COURT TERME,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,05/07/2017,01/10/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
128,101,1,2496221,O,EN LOCATION,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,05/07/2017,13/02/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
129,101,1,2496231,I,EN TRANSIT,057-0048 - MINIPELLE DEMOLITION 5T,EQP,ECR58D,VOLVO,05/07/2017,15/02/2023,77,87,"0,89",0,2018,0,75,27900,48000,0,
130,101,1,2496531,O,EN LOCATION,057-0049 - MINIPELLE DEMOLITION 7.5T/8.5T,EQP,ECR88D,VOLVO,06/04/2017,31/01/2023,77,87,"0,89",0,2018,0,75,36900,70000,0,
131,101,1,2502991,A,DISPONIBLE,057-0044 - MINIPELLE DEMOLITION 1.5T,EQP,EC18D DEMOL,VOLVO,19/04/2017,30/01/2023,77,87,"0,89",0,2018,0,75,15825,20000,0,
132,101,1,2503001,O,EN LOCATION,057-0044 - MINIPELLE DEMOLITION 1.5T,EQP,EC18D DEMOL,VOLVO,19/04/2017,02/01/2023,77,87,"0,89",0,2018,0,75,15825,20000,0,
133,101,1,2503241,R,ZONE RETOUR CTRL OBLIGATOIRES,057-0044 - MINIPELLE DEMOLITION 1.5T,EQP,EC18D DEMOL,VOLVO,27/04/2017,02/09/2023,77,87,"0,89",0,2018,0,75,15825,20000,0,
134,101,1,2503251,O,EN LOCATION,057-0044 - MINIPELLE DEMOLITION 1.5T,EQP,EC18D DEMOL,VOLVO,13/04/2017,14/02/2023,77,87,"0,89",0,2018,0,75,15825,20000,0,
135,101,1,2503321,O,EN LOCATION,057-0044 - MINIPELLE DEMOLITION 1.5T,EQP,EC18D DEMOL,VOLVO,14/04/2017,02/10/2023,77,87,"0,89",0,2018,0,75,15825,20000,0,
