int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie
4180,224,51,272901,O,EN LOCATION,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600,MANITOU,31/05/2017,31/01/2023,66,83,"0,8",119,2022,183,254,1778,1500,116,
4181,224,51,295865,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,G204/235,AUSA,30/08/2017,02/09/2023,63,83,"0,76",0,2018,261,252,1764,1500,0,
4182,224,51,295865,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,G204/235,AUSA,30/08/2017,02/09/2023,63,83,"0,76",0,2019,249,251,1757,1500,0,
4183,224,51,295865,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,G204/235,AUSA,30/08/2017,02/09/2023,63,83,"0,76",0,2020,186,254,1778,1500,0,
4184,224,51,295865,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,G204/235,AUSA,30/08/2017,02/09/2023,63,83,"0,76","9,6",2021,230,255,1785,1500,1888,
4185,224,51,295865,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,G204/235,AUSA,30/08/2017,02/09/2023,63,83,"0,76","28,06",2022,124,254,1778,1500,644,
4186,224,51,297446,A,DISPONIBLE,049-0074 - PLATEFORME 10M AUTOM. ELECT.,EQP,COMPACT10,HAULOTTE,06/10/2017,02/09/2023,62,112,"0,55","713,4",2019,11,26,0,12700,20,
4187,224,51,299559,R,ZONE RETOUR CTRL OBLIGATOIRES,049-0113 - NACELLE 5M MAT VERTICAL ELECT.,EQP,NANO SP+,POWERTOWER,16/01/2018,30/11/2022,65,112,"0,58",42,2022,1,3,0,7500,25,
4188,224,51,299560,O,EN LOCATION,049-0113 - NACELLE 5M MAT VERTICAL ELECT.,EQP,NANO SP+,POWERTOWER,16/01/2018,14/02/2023,65,112,"0,58",0,2022,0,3,0,7500,0,
4189,224,51,308627,O,EN LOCATION,052-0039 - CHARIOT TELESC.>= 17M,EQP,MT1840,MANITOU,21/03/2018,02/02/2023,56,111,"0,51",0,2019,0,1,0,61000,0,
